model,phase,n_inputs,repeat,time_s
cpu,first_call,1,7,0.6335611999966204
cpu,first_call,1,8,0.6301814999897033
cpu,first_call,1,9,0.631729600019753
cpu,first_call,1,10,0.642517999978736
cpu,first_call,1,11,0.6321915999869816
cpu,first_call,1,12,0.6829824000014924
cpu,first_call,1,13,0.6573930999729782
cpu,first_call,1,14,0.844184799992945
cpu,first_call,1,15,0.8925340999849141
cpu,first_call,1,16,0.8167844999697991
cpu,first_call,1,17,0.7155566000146791
cpu,first_call,1,18,0.7168340000207536
cpu,first_call,1,19,0.7546797000104561
cpu,first_call,1,20,0.762732099974528
cpu,first_call,1,21,0.772307200008072
cpu,first_call,1,22,0.7710976999951527
cpu,first_call,1,23,0.7555841000285
cpu,first_call,1,24,0.8016082000103779
cpu,first_call,1,25,0.768655999971088
cpu,first_call,1,26,0.8222041999688372
cpu,first_call,1,27,0.73063700000057
cpu,first_call,1,28,0.6480168999987654
cpu,first_call,1,29,0.6376850000233389
cpu,warm,1,0,0.6342189999995753
cpu,warm,1,1,0.8058044999488629
cpu,warm,1,2,0.7204617999959737
cpu,warm,1,3,0.626520200050436
cpu,warm,1,4,0.6078557000146247
cpu,warm,1,5,0.6146210000151768
cpu,warm,1,6,0.614295800041873
cpu,warm,1,7,0.5978332000086084
cpu,warm,1,8,0.6088428000221029
cpu,warm,1,9,0.6339206999982707
cpu,warm,1,10,0.6418402999988757
cpu,warm,1,11,0.7905371999950148
cpu,warm,1,12,0.6132872000453062
cpu,warm,1,13,0.6217272999929264
cpu,warm,1,14,0.6104866999667138
cpu,warm,1,15,0.6083075000206009
cpu,warm,1,16,0.6250392000074498
cpu,warm,1,17,0.6086919999797828
cpu,warm,1,18,0.608932500006631
cpu,warm,1,19,0.6221572000067681
cpu,warm,1,20,0.6717090000165626
cpu,warm,1,21,0.6090980999870226
cpu,warm,1,22,0.6349372999975458
cpu,warm,1,23,0.6225323000107892
cpu,warm,1,24,0.8013002999941818
cpu,warm,1,25,0.6005106000229716
cpu,warm,1,26,0.6851510000415146
cpu,warm,1,27,0.6996478999499232
cpu,warm,1,28,0.7138386000297032
cpu,warm,1,29,0.7040130000095814
gpu,init,1,0,0.3943830000353046
gpu,init,1,1,0.40714540000772104
gpu,init,1,2,0.4068795000202954
gpu,init,1,3,0.38000319997081533
gpu,init,1,4,0.38290119997691363
gpu,init,1,5,0.4425049999845214
gpu,init,1,6,0.3800679999985732
gpu,init,1,7,0.33932470000581816
gpu,init,1,8,0.33419449999928474
gpu,init,1,9,0.3630723000387661
gpu,init,1,10,0.368798199982848
gpu,init,1,11,0.3250321000232361
gpu,init,1,12,0.31154379999497905
gpu,init,1,13,0.3203481999807991
gpu,init,1,14,0.31047680001938716
gpu,init,1,15,0.31204129999969155
gpu,init,1,16,0.31847970001399517
gpu,init,1,17,0.3239624000270851
gpu,init,1,18,0.32857970002805814
gpu,init,1,19,0.3092670999467373
gpu,init,1,20,0.33133299998007715
gpu,init,1,21,0.31090590002713725
gpu,init,1,22,0.3264752000104636
gpu,init,1,23,0.30420030001550913
gpu,init,1,24,0.30182190000778064
